run_id;query;phase;files_read;input_size_bytes;shuffle_read_bytes;shuffle_write_bytes;elapsed_ms;notes;timestamp
r1;Q1;baseline;10;123 700 000;525.0;525.0;400;Lecture lente (scan full); 2026 -01-04 17:46 
r1;Q1;optimized;7;25 100 000;410.0;410.0;43;Lecture rapide (Pruning); 2026 -01-04 17:46 
